,index,날짜,시가,고가,저가,종가,거래량,거래대금,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch
4228,4228,2018-02-02,911.46,911.77,887.97,899.47,1373001226,7817689872704,-0.9705715588068549,913.85,886.5414999999999,810.3786666666666,98.42643759916837,101.45830736632185,110.99379055717165,28.276002709185132,943.0935054183702,829.9894945816296,899.6333333333333,0,1235197669617,0.9401778508382265,48.45833336526524,0
4229,4229,2018-02-05,876.63,883.3,858.22,858.22,1043126897,7137050509315,-4.806459882081517,900.0840000000001,887.4770000000001,812.8638333333333,95.3488785491132,96.70335118543917,105.57979883059545,26.914832948225726,941.3066658964516,833.6473341035486,864.3566666666666,0,901633687601,0.7348585056826185,42.35841155204021,0
4230,4230,2018-02-06,821.24,858.74,814.46,858.17,1062693041,8623196623322,-0.005826351422220331,887.5260000000001,888.8860000000001,815.3343333333335,96.6923785894723,96.544438769426,105.253754799156,24.363687258734526,937.6133745174691,840.1586254825311,831.29,0,883406098052,0.752252256515307,42.93059139848428,0
4231,4231,2018-02-07,874.75,875.03,829.96,829.96,1033318239,8443700119659,-3.398958985975218,870.8040000000001,888.6385,817.1538333333334,95.30962191262327,93.3968087135545,101.56716717762038,24.95874032645735,938.5559806529147,838.7210193470853,844.89,873040246948,0,0.7219469348099138,41.92620110500732,0
4232,4232,2018-02-08,834.89,867.04,824.64,861.94,796313078,8701287290487,3.710235051163656,861.552,889.11,819.1631666666667,100.04503500659277,96.94413514638234,105.22201620800415,24.32123914778044,937.7524782955609,840.4675217044392,840.4900000000001,0,669293178928,0.7548786249162529,43.016002029899795,0
4233,4233,2018-02-09,832.13,850.7,832.13,842.6,764447795,5560304628431,-2.2952765250415417,850.1780000000001,887.5875,820.5988333333333,99.10865724589438,94.9314856281775,102.68111113164716,26.25565320077408,940.0988064015481,835.0761935984518,835.62,0,638787866457,0.7888636115584019,44.09858898472246,0
4234,4234,2018-02-12,854.09,854.94,843.24,843.24,692304168,4979550636946,0.07589772781177201,847.182,885.1690000000001,821.8523333333334,99.53469266344186,95.26316443526602,102.6023734190692,28.033217683375742,941.2354353667516,829.1025646332486,846.8566666666666,586282400031,0,0.744162078393808,42.665878797176006,0
4235,4235,2018-02-13,852.94,854.08,829.39,829.39,832909497,5374999197192,-1.6699019761511498,841.426,881.577,822.6718333333333,98.56957118035335,94.08026752059094,100.81662777239447,30.37195418559618,942.3209083711923,820.8330916288077,837.2399999999999,0,697345147268,0.572606355486456,36.41129603023454,0
4236,4236,2018-02-14,835.6,848.03,830.78,848.03,722666509,5129493555159,2.19803544685919,845.04,879.6495000000001,823.8748333333333,100.35382940452524,96.40544330440703,102.93189762441666,31.248345215123525,942.1461904302472,817.152809569753,838.1366666666667,605693298964,0,0.7255026421684434,42.04587257291605,0
4237,4237,2018-02-19,855.78,875.81,855.58,875.81,684361251,4958433491869,3.171920850412758,847.814,878.5305000000001,825.3829999999999,103.30213938434609,99.69033516764641,106.10952733458285,30.948744464787122,940.4279889295743,816.6330110704258,862.39,590186299249,0,0.6734905072166288,40.244656561380026,0
4238,4238,2018-02-20,873.99,877.9,861.5,864.41,797235793,5541460435071,-1.3188186161659372,852.1759999999998,877.7515,826.6335,101.43561893317813,98.48003677578448,104.56992125288897,31.105755479439683,939.9630109588793,815.5399890411206,866.6333333333333,690911112740,0,0.6079613747936257,37.80945141618558,0
4239,4239,2018-02-21,867.92,877.69,864.21,875.58,814576509,5281216304108,1.2757258046095243,858.644,877.876,828.2115,101.97241231523194,99.73845964578142,105.71937240668599,31.091095594437988,940.058191188876,815.693808811124,869.2366666666667,708059769428,0,0.5484675643664987,35.42002280111595,0
4240,4240,2018-02-22,871.72,873.48,863.89,870.22,857859715,4798708144565,-0.6159362000413704,866.8100000000001,876.6655000000001,829.4351666666666,100.39339647673653,99.26477088467608,104.9171815920513,30.883261941660543,938.4320238833211,814.898976116679,868.61,0,745145527046,0.5750531948074551,36.5100808469998,0
